CustomerID,CustomerName,Cluster
C0001,Lawrence Carroll,1
C0002,Elizabeth Lutz,1
C0003,Michael Rivera,1
C0005,Laura Weber,1
C0007,Paul Graves,1
C0009,Joy Clark,1
C0010,Aaron Cox,1
C0011,Bryan Mathews,1
C0014,Deborah Wilcox,1
C0015,Tina Duran,1
C0016,Emily Woods,1
C0019,Brandon Rodriguez,1
C0020,Mr. Manuel Conway,1
C0024,Michele Cooley,1
C0025,Gregory Odom,1
C0026,Sara Miller,1
C0027,Justin Heath,1
C0029,Erin Manning,1
C0030,Mark Brock,1
C0031,Tina Miller,1
C0032,Dustin Campbell,1
C0033,Tyler Holt,1
C0034,Dalton Perez,1
C0035,Brianna Richardson,1
C0036,Brian Aguilar DDS,1
C0038,Jeffrey Perkins,1
C0042,Heather Riley,1
C0043,Sandy Short MD,1
C0044,Kenneth Alexander,1
C0047,Samantha Frank,1
C0048,Matthew Park,1
C0049,Jason Yates,1
C0050,Ryan Davis,1
C0052,Stanley Aguirre,1
C0055,Lauren Williams,1
C0056,Erika Fernandez,1
C0058,Zachary Turner,1
C0060,James Murphy,1
C0061,Brandon Escobar,1
C0062,Jeffery Hartman,1
C0063,Wayne Ferguson,1
C0066,Catherine White,1
C0069,Stacy Foster,1
C0070,Timothy Perez,1
C0071,Taylor Murphy,1
C0072,Sarah Scott,1
C0073,Heidi Johnson,1
C0074,Jonathan Russo,1
C0076,Emily Roberts,1
C0077,Scott Sims,1
C0078,Julia Palmer,1
C0080,David Gonzalez,1
C0081,Kimberly Turner,1
C0083,Christina Stark,1
C0085,Richard Brown,1
C0086,Stephanie Peterson,1
C0088,Carlos Murray,1
C0089,Paul Carter,1
C0091,Lisa Kirk,1
C0092,Jacqueline Zamora,1
C0094,Emily Trevino,1
C0095,William Walker,1
C0097,Tina Ford,1
C0098,Laura Gilbert,1
C0103,Jennifer Munoz,1
C0106,Amanda Mcguire,1
C0107,Dana Cantrell,1
C0110,Elizabeth Wells,1
C0111,Roger David,1
C0112,Brian Adkins,1
C0115,Joshua Hamilton,1
C0116,James Martinez,1
C0118,Jacob Holt,1
C0119,David Armstrong,1
C0120,Francisco Diaz,1
C0121,Mark Atkinson,1
C0123,Jason Johnston,1
C0125,Nicholas Taylor,1
C0127,Kathryn Stevens,1
C0128,Henry Leach,1
C0129,Marcus Livingston,1
C0130,Robert Jones,1
C0131,Scott Wilson,1
C0132,Lisa Jackson,1
C0133,Gwendolyn Carter,1
C0134,Theresa Gonzalez,1
C0135,Toni Weaver,1
C0137,Robert Gardner,1
C0139,Ricky Gutierrez,1
C0140,Gregory Estrada,1
C0142,Nicole Long DVM,1
C0144,Andrea Hart,1
C0146,Brittany Harvey,1
C0147,Hunter Fuller,1
C0150,Angela Williams,1
C0151,Amber Gonzalez,1
C0152,Justin Evans,1
C0154,Robert Sharp,1
C0157,Miguel Wong,1
C0158,Wendy Browning,1
C0159,Austin Miller,1
C0160,Jodi Cook,1
C0161,Jessica Warren,1
C0164,Morgan Perez,1
C0166,John Rogers,1
C0167,Brandy Welch,1
C0172,Jamie Webb,1
C0174,Tracy Steele,1
C0176,Nicole Booth,1
C0177,Julia Kelly,1
C0178,Carol Williams,1
C0179,Donald Miller,1
C0181,Alexander Barker,1
C0183,Kimberly Johnson,1
C0184,Tina Jacobs,1
C0185,Kathleen Logan,1
C0186,Amber Alexander,1
C0189,Sherri Dixon,1
C0190,Alexander Lowe,1
C0191,Samantha Gibson DVM,1
C0192,Sarah Arias,1
C0193,Douglas Torres,1
C0194,Stacy Cook,1
C0197,Christina Harvey,1
C0198,Rebecca Ray,1
C0199,Andrea Jenkins,1
